Table A - DAMAGE_TYPE_INT,Table B - Slayer/Creature Type,TABLE M - ALL SKILLS,Table U - TOLERANCE_INT,Table W - DEFAULT_COMBAT_STYLE_INT,Table AD - TRANSFER_FROM/TO_ATTRIBUTE_INT,Table AR - Death Treasure (Uniques),Table AN - RESISTANCE_MODIFIER_TYPE_INT,Table AM - HOOK_TYPE_INT,Table AI - ICON_UNDERLAY_DID,Table AC - HERITAGE_GROUP_INT,Table Z - BOOSTER_ENUM_INT,Table E - WEAPON_TYPE_INT,Table I - IMBUED_EFFECT_INT,Table  J - WIELD_REQUIREMENTS_INT,Table K - Attributes,Table K - Attributes,Table L - Vitals,Table O - Armor Type,Table P - AMMO_TYPE_INT,Table C - ACTIVATION_RESPONSE_INT,Table AF: MATERIAL_TYPE_INT,Table AA - RADARBLIP_COLOR_INT,Table Y - LOCKPICK_MOD_INT,Table G - COMBAT_USE_INT,Table H - UI_EFFECTS_INT,Table F - ATTACK_TYPE_INT,TABLE AQ - FRIEND_TYPE_INT,Table AL - PLAYER_KILLER_STATUS_INT,Table AK - COMBAT_MODE_INT,Table N - ITEM_TYPE_INT,Table T - BONDED_INT,Table AB - PORTAL_BITMASK_INT,Table AG - SHOWABLE_ON_RADAR_INT,Table AH - SKILL_ADVANCEMENT_CLASS,Table AJ - CURRENT_ATTACK_HEIGHT_INT,Table AP - HOOK_GROUP_INT,Table V  - TARGETING_TACTIC_INT,Table Q - ITEM_USEABLE_INT,Table S - LOCATIONS_INT,Table R - CLOTHING_PRIORITY_INT,,Table AO - CHARACTER_TITLE_ID_INT,,Table AE - EQUIPMENT_SET_ID_INT,PALETTE_ENTRY_INT Lookup Table,,,,All hex enums are converted to decimal (Weenie type),,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,ID_CharacterTitle_Superman,Superman,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364,ID_CharacterTitle_Survivor_Champion,Survivor Champion,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365,ID_CharacterTitle_Sword_Scholar,Sword Scholar,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366,ID_CharacterTitle_Teh_Newb,Teh Newb,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,ID_CharacterTitle_Teh_Saint,Teh Saint,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,ID_CharacterTitle_Testing_Guy,Testing Guy,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369,ID_CharacterTitle_The_Bait,The Bait,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370,ID_CharacterTitle_The_Chosen_King,The Chosen King,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,ID_CharacterTitle_The_Come_Back_Kid,The Come Back Kid,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372,ID_CharacterTitle_The_Forgotten,The Forgotten,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373,ID_CharacterTitle_The_Gimped,The Gimped,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,ID_CharacterTitle_The_Great_and_Powerful,The Great and Powerful,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,ID_CharacterTitle_The_Half_Fox,The Half-Fox,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,ID_CharacterTitle_The_Noob,The Noob,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377,ID_CharacterTitle_The_Purple_Fez,The Purple Fez,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378,ID_CharacterTitle_The_Pwnerer,The Pwnerer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379,ID_CharacterTitle_The_Unknown_Pk,The Unknown Pk,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380,ID_CharacterTitle_Thunder_Chicken_Slayer,Thunder Chicken Slayer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381,ID_CharacterTitle_TM_Killer,TM Killer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382,ID_CharacterTitle_Tough_Guy,Tough Guy,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383,ID_CharacterTitle_Tradesman_of_Auberean,Tradesman of Auberean,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384,ID_CharacterTitle_Treasure_Hunter,Treasure Hunter,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385,ID_CharacterTitle_Tremendous_Monouga_Master,Tremendous Monouga Master,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386,ID_CharacterTitle_Triple_Golem_Killer,Triple Golem Killer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387,ID_CharacterTitle_Turbine_Slayer,Turbine Slayer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388,ID_CharacterTitle_Twins_of_Terror,Twins of Terror,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389,ID_CharacterTitle_Uberest_Noob_on_Frostfell,Uberest Noob on Frostfell,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390,ID_CharacterTitle_Underworld_Thugg,Underworld-Thugg,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391,ID_CharacterTitle_Viamontian_Slayer,Viamontian Slayer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392,ID_CharacterTitle_Vitae_King,Vitae King,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393,ID_CharacterTitle_Vitae_Vixen,Vitae Vixen,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394,ID_CharacterTitle_Vixen_of_Vitae,Vixen of Vitae,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395,ID_CharacterTitle_Wabbit_Bait,Wabbit Bait,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396,ID_CharacterTitle_Wabbit_Killer,Wabbit Killer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397,ID_CharacterTitle_Wandering_Fool,Wandering Fool,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398,ID_CharacterTitle_Wardens_Assistant,Warden's Assistant,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399,ID_CharacterTitle_Wardens_Thug,Wardens Thug,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,ID_CharacterTitle_Wimp,Wimp,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401,ID_CharacterTitle_Wolfpack_Crafter,Wolfpack Crafter,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402,ID_CharacterTitle_Wonder_Woman,Wonder Woman,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403,ID_CharacterTitle_Ya_got_served,Ya got served,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404,ID_CharacterTitle_GIMP_caps,GIMP,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405,ID_CharacterTitle_Wardens_Assistant_two,Wardens Assistant,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406,ID_CharacterTitle_Supreme_Bunny_Master,Supreme Bunny Master,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407,ID_CharacterTitle_Guardian_of_the_Dark,Guardian of the Dark,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,408,ID_CharacterTitle_Aprils_Fool,April's Fool,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409,ID_CharacterTitle_Ulgrims_Eep,Ulgrim's Eep,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410,ID_CharacterTitle_Mukkir_Masher,Mukkir Masher,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411,ID_CharacterTitle_Harbingers_Bane,Harbinger's Bane,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,412,ID_CharacterTitle_Master_of_the_Elements,Master of the Elements,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413,ID_CharacterTitle_Killcranes_Ally,Killcrane's Ally,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414,ID_CharacterTitle_Apprentice_Shadow_Hunter,Apprentice Shadow Hunter,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415,ID_CharacterTitle_Squire_of_the_Golden_Flame,Squire of the Golden Flame,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416,ID_CharacterTitle_Knight_of_the_Golden_Flame,Knight of the Golden Flame,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417,ID_CharacterTitle_Knight_of_the_Whispering_Blade,Knight of the Whispering Blade,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418,ID_CharacterTitle_The_Black_Spear,The Black Spear,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420,ID_CharacterTitle_Carraidas_Avenger,Carraida's Avenger,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421,ID_CharacterTitle_Paragon_of_the_Whispering_Blade,Paragon of the Whispering Blade,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422,ID_CharacterTitle_Paragon_of_the_Rossu_Morta,Paragon of the Rossu Morta,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,423,ID_CharacterTitle_Chosen_of_Varicci,Chosen of Varicci,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424,ID_CharacterTitle_Chosen_of_Elysa,Chosen of Elysa,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425,ID_CharacterTitle_Small_Mukkir_Squasher,Small Mukkir Squasher,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,426,ID_CharacterTitle_Blood_Warrior,Blood Warrior,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427,ID_CharacterTitle_Strategist,Strategist,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428,ID_CharacterTitle_War_Beast,War Beast,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429,ID_CharacterTitle_Champion_of_Daemal,Champion of Daemal,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430,ID_CharacterTitle_Hero_of_the_Golden_Flame,Hero of the Golden Flame,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431,ID_CharacterTitle_Slayer_of_the_Black_Spear,Slayer of the Black Spear,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,433,ID_CharacterTitle_Obviously_Bored,Obviously Bored,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434,ID_CharacterTitle_Zefir_Zapper,Zefir Zapper,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,435,ID_CharacterTitle_Tusker_Blight,Tusker Blight,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436,ID_CharacterTitle_Elemental_Eradicator,Elemental Eradicator,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437,ID_CharacterTitle_Expert_Banished_Hunter,Expert Banished Hunter,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,438,ID_CharacterTitle_Expert_Fallen_Hunter,Expert Fallen Hunter,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439,ID_CharacterTitle_Elite_Head_Hunter,Elite Head Hunter,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440,ID_CharacterTitle_Friend_of_the_Frostglaive,Friend of the Frostglaive,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441,ID_CharacterTitle_Squire_of_New_Viamont,Squire of New Viamont,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442,ID_CharacterTitle_Reanimator,Reanimator,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,443,ID_CharacterTitle_Zombie_Incursion_Survivor,Zombie Incursion Survivor,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444,ID_CharacterTitle_Ulgrims_Drinking_Buddy,Ulgrim's Drinking Buddy,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445,ID_CharacterTitle_Master_of_the_Porcelain_Altar,Master of the Porcelain Altar,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446,ID_CharacterTitle_Master_of_the_Mystical_Mug,Master of the Mystical Mug,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,447,ID_CharacterTitle_Colosseum_Champion,Colosseum Champion,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448,ID_CharacterTitle_Titan,Titan,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449,ID_CharacterTitle_Colossus,Colossus,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450,ID_CharacterTitle_Master_Gladiator,Master Gladiator,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451,ID_CharacterTitle_Fearless,Fearless,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452,ID_CharacterTitle_Lord_of_the_Arena,Lord of the Arena,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,453,ID_CharacterTitle_Ring_Master,Ring Master,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454,ID_CharacterTitle_Pit_Fighter,Pit Fighter,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,455,ID_CharacterTitle_Myrmidon,Myrmidon,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456,ID_CharacterTitle_Hostile_Combatant,Hostile Combatant,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457,ID_CharacterTitle_Survivalist,Survivalist,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,458,ID_CharacterTitle_Warrior_of_the_Seventh_Circle,Warrior of the Seventh Circle,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459,ID_CharacterTitle_Gladiator,Gladiator,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460,ID_CharacterTitle_Contender,Contender,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461,ID_CharacterTitle_Drudge_Dread,Drudge Dread,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,462,ID_CharacterTitle_Arena_Custodian,Arena Custodian,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,463,ID_CharacterTitle_Arena_Rat,Arena Rat,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,464,ID_CharacterTitle_Scrapper,Scrapper,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,465,ID_CharacterTitle_Champion_Ring_III,Champion of Stone,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,466,ID_CharacterTitle_Champion_Ring_V,Champion of Sickles,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,467,ID_CharacterTitle_Champion_Ring_VI,Champion of the Wild,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468,ID_CharacterTitle_Champion_Ring_VII,Champion of the Hive,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469,ID_CharacterTitle_Champion_Ring_XII,Champion of Assassins,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470,ID_CharacterTitle_Master_Champion_Ring_X,Immortal Champion,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,471,ID_CharacterTitle_Ruuk_Ally,Ruuk Ally,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,472,ID_CharacterTitle_Seeker_of_Asheron,Seeker of Asheron,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,473,ID_CharacterTitle_Seeker_of_Torgluuk,Seeker of Torgluuk,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,474,ID_CharacterTitle_Portal_Ritualist,Portal Ritualist,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475,ID_CharacterTitle_Ranger_Ruuk,Ranger Ruuk,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476,ID_CharacterTitle_Basher_Slasher,Basher Slasher,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477,ID_CharacterTitle_Guruk_Hunter,Guruk Hunter,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,478,ID_CharacterTitle_Dead_Eye_for_the_Colossi,Dead Eye for the Colossi,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479,ID_CharacterTitle_Fiendish_Huntsman,Fiendish Huntsman,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480,ID_CharacterTitle_Monster_Killer,Monster Killer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,481,ID_CharacterTitle_Bosh_Bosh_Kibosh,Bosh Bosh Kibosh,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,482,ID_CharacterTitle_Mushroom_Collector,Mushroom Collector,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,483,ID_CharacterTitle_Fungal_Farmer,Fungal Farmer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,484,ID_CharacterTitle_Mushroom_Man,Mushroom Man,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,485,ID_CharacterTitle_Fungi,Fungi,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,486,ID_CharacterTitle_Mushroom_King,Mushroom King,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,487,ID_CharacterTitle_Thrungamandius,Thrungamandius,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,488,ID_CharacterTitle_Initiate_of_the_Blade,Initiate of the Blade,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,489,ID_CharacterTitle_Torgluuks_Liberator,Torgluuk's Liberator,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490,ID_CharacterTitle_Burun_Liberator,Burun Liberator,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,491,ID_CharacterTitle_Asherons_Savior,Asheron's Savior,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,492,ID_CharacterTitle_Asherons_Defender,Asheron's Defender,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494,ID_CharacterTitle_Fuzzy_Bunny_Slayer,Fuzzy Bunny Slayer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,495,ID_CharacterTitle_Moar_Hunter,Moar Hunter,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496,ID_CharacterTitle_Spiketooth_Slayer,Spiketooth Slayer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,497,ID_CharacterTitle_Tower_Guardian_Architect,Tower Guardian Architect,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,498,ID_CharacterTitle_Artisan_of_the_Flame_and_Light,Artisan of the Flame and Light,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499,ID_CharacterTitle_Guardian_of_the_Tower,Guardian of the Tower,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,ID_CharacterTitle_Cragstone_Militia,Cragstone Militia,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501,ID_CharacterTitle_Cragstone_Knight,Cragstone Knight,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,502,ID_CharacterTitle_Guardian_of_Cragstone,Guardian of Cragstone,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,503,ID_CharacterTitle_Knight_of_the_Windmill,Knight of the Windmill,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504,ID_CharacterTitle_Hero_Of_House_Mhoire,Hero of House Mhoire,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505,ID_CharacterTitle_Lady_Tairlas_Champion,Lady Tairla's Champion,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,506,ID_CharacterTitle_Royal_Investigator,Royal Investigator,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,507,ID_CharacterTitle_Wanga_Fighter,Wanga Fighter,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508,ID_CharacterTitle_Hoogans_Hero,Hoogan's Hero,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509,ID_CharacterTitle_Cragstone_Firefighter,Cragstone Firefighter,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,511,ID_CharacterTitle_Stalker_Stalker,Stalker Stalker,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512,ID_CharacterTitle_Ravenous,Ravenous,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,513,ID_CharacterTitle_Altered_Hunter,Altered Hunter,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,514,ID_CharacterTitle_Augmented_Hunter,Augmented Hunter,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,515,ID_CharacterTitle_Drudge_Doom,Drudge Doom,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,516,ID_CharacterTitle_Defender_of_Kryst,Defender of Kryst,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,517,ID_CharacterTitle_Paradox_touched_Queenslayer,Paradox-touched Queenslayer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,518,ID_CharacterTitle_Amelias_Caretaker,Amelia's Caretaker,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,519,ID_CharacterTitle_Prodigal_Tusker_Slayer,Prodigal Tusker Slayer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520,ID_CharacterTitle_Mudmouths_Bane,Mudmouth's Bane,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,521,ID_CharacterTitle_Oolutangas_Bane,Oolutanga's Bane,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,522,ID_CharacterTitle_Prodigal_Shadow_Slayer,Prodigal Shadow Slayer,,,,,,,,,,
